zipcode,major_city,radius_in_miles,population,population_density,housing_units,occupied_housing_units,median_home_value,median_household_income
60629,Chicago,2.0,113916,16726.0,34000,30114,159700.0,40650.0
79936,El Paso,6.0,111086,4154.0,35523,34452,121700.0,52024.0
11368,Corona,1.0,109931,41768.0,30978,28861,480900.0,45964.0
90650,Norwalk,2.0,105549,10761.0,28083,27130,315500.0,60770.0
90011,Los Angeles,2.0,103892,24240.0,23547,22168,269300.0,30171.0
91331,Pacoima,3.0,103689,11713.0,23780,22465,283000.0,51477.0
11226,Brooklyn,1.0,101572,78775.0,37745,36101,480500.0,40734.0
90201,Bell Gardens,3.0,101279,17060.0,24940,24104,271300.0,37267.0
11373,Elmhurst,0.9659090909090909,100820,66007.0,33227,31348,499600.0,47667.0
11220,Brooklyn,1.0,99598,55603.0,31045,29018,615300.0,37580.0
11385,Ridgewood,3.0,98592,27290.0,37251,34843,495800.0,50799.0
10467,Bronx,2.0,97060,41649.0,37432,35524,369500.0,36048.0
92335,Fontana,4.0,95397,5506.0,24246,22772,174000.0,42943.0
77084,Houston,4.0,95137,3094.0,33731,31473,124300.0,62785.0
10025,New York,0.9659090909090909,94600,125860.0,47617,44432,934600.0,68516.0
11208,Brooklyn,2.0,94469,27333.0,32069,29211,441100.0,35079.0
90280,South Gate,3.0,94396,12922.0,24160,23278,292100.0,42776.0
77449,Katy,4.0,94382,3158.0,29238,27742,118500.0,65420.0
11236,Brooklyn,2.0,93877,26112.0,33313,31778,478700.0,61061.0
78521,Brownsville,12.0,93818,1007.0,27808,25763,67500.0,26684.0
90805,Long Beach,2.0,93524,12692.0,27646,26056,282000.0,44070.0
11207,Brooklyn,2.0,93386,34965.0,34202,31118,403800.0,32945.0
90250,Hawthorne,2.0,93193,13920.0,32600,31087,397500.0,45995.0
08701,Lakewood,4.0,92843,3775.0,26337,24283,280100.0,40240.0
11219,Brooklyn,1.0,92221,62225.0,28693,26177,726700.0,34316.0
60623,Chicago,2.0,92108,17196.0,30931,25738,155600.0,28949.0
60618,Chicago,2.0,92084,18195.0,39547,35407,336300.0,55577.0
91342,Sylmar,9.0,91725,1665.0,24967,23543,322400.0,59329.0
60632,Chicago,2.0,91326,12297.0,27057,24093,177800.0,38545.0
60639,Chicago,2.0,90407,18537.0,28183,25197,206800.0,38707.0
11211,Brooklyn,2.0,90117,39209.0,37180,33489,655500.0,46848.0
11377,Woodside,2.0,89830,35274.0,33545,31412,395800.0,49886.0
90044,Los Angeles,3.0,89779,17478.0,27479,25144,269400.0,29870.0
92683,Westminster,3.0,89747,8975.0,27713,26223,448400.0,52409.0
00725,Caguas,7.0,89374,2120.0,38678,33724,,
75052,Grand Prairie,5.0,88996,3402.0,29926,28598,134300.0,66744.0
11214,Brooklyn,2.0,88630,40566.0,35261,32212,598800.0,43398.0
92336,Fontana,4.0,88419,3555.0,23271,22223,283700.0,87116.0
92704,Santa Ana,2.0,88123,11919.0,20468,19569,332600.0,58463.0
11234,Brooklyn,4.0,87757,11627.0,33714,31213,488200.0,68431.0
60647,Chicago,2.0,87291,21570.0,38453,34330,333000.0,51675.0
10456,Bronx,1.0,86547,84979.0,29651,28122,388600.0,23452.0
11230,Brooklyn,1.0,86408,46966.0,34028,30859,598000.0,42170.0
92804,Anaheim,3.0,85914,12265.0,25717,24363,362600.0,53293.0
11355,Flushing,1.0,85871,49492.0,30681,28837,507500.0,41884.0
10314,Staten Island,4.0,85510,6235.0,32533,30709,437500.0,77242.0
91744,La Puente,3.0,85040,9675.0,19211,18648,285900.0,57291.0
94565,Pittsburg,8.0,84641,2803.0,27897,25761,213300.0,55255.0
60804,Cicero,2.0,84573,11036.0,24986,22758,157200.0,44177.0
92503,Riverside,5.0,84519,2830.0,24754,23413,222500.0,56373.0
11212,Brooklyn,1.0,84500,54944.0,31847,30201,391700.0,28348.0
60617,Chicago,4.0,84155,6070.0,33392,28894,139300.0,38845.0
91911,Chula Vista,5.0,82999,7087.0,25616,24622,294900.0,48111.0
60608,Chicago,2.0,82739,13025.0,28852,25196,230700.0,35336.0
93033,Oxnard,5.0,82728,2821.0,17696,17065,265700.0,53400.0
93307,Bakersfield,22.0,82658,595.0,23411,21275,109700.0,33711.0
95076,Watsonville,12.0,82474,604.0,24331,22359,366100.0,55208.0
11206,Brooklyn,1.0,81677,56939.0,29941,28025,533400.0,28559.0
92376,Rialto,3.0,81516,6031.0,22370,20541,162300.0,44550.0
10002,New York,0.7954545454545454,81410,92573.0,34541,32925,535600.0,33218.0
91710,Chino,3.0,80358,3736.0,23009,21952,331700.0,70768.0
75217,Dallas,5.0,80324,2940.0,23805,21625,73200.0,34480.0
30043,Lawrenceville,6.0,80241,2467.0,27767,25997,171000.0,67260.0
11229,Brooklyn,2.0,80018,36934.0,34885,30601,524100.0,51725.0
92154,San Diego,7.0,79708,2157.0,21206,20202,269800.0,57618.0
30044,Lawrenceville,5.0,79701,3255.0,27851,25780,147200.0,51827.0
10458,Bronx,2.0,79492,78784.0,27806,26201,330300.0,24618.0
