zipcode,population,radius_in_miles,population_density,percent_occupied_units,median_home_value,median_household_income,kmeans_labels
60629,113916,2.0,16726.0,0.8857058823529412,159700.0,40650.0,1
79936,111086,6.0,4154.0,0.969850519381809,121700.0,52024.0,1
11368,109931,1.0,41768.0,0.9316611789011556,480900.0,45964.0,1
90650,105549,2.0,10761.0,0.9660648791083574,315500.0,60770.0,1
90011,103892,2.0,24240.0,0.9414362763834034,269300.0,30171.0,1
91331,103689,3.0,11713.0,0.9447014297729184,283000.0,51477.0,1
11226,101572,1.0,78775.0,0.956444562193668,480500.0,40734.0,1
90201,101279,3.0,17060.0,0.9664795509222133,271300.0,37267.0,1
11373,100820,0.9659090909090908,66007.0,0.9434496042375177,499600.0,47667.0,1
11220,99598,1.0,55603.0,0.9347076823965211,615300.0,37580.0,1
11385,98592,3.0,27290.0,0.935357440068723,495800.0,50799.0,1
10467,97060,2.0,41649.0,0.9490275699935884,369500.0,36048.0,1
92335,95397,4.0,5506.0,0.9392064670461107,174000.0,42943.0,1
77084,95137,4.0,3094.0,0.9330586107734725,124300.0,62785.0,1
10025,94600,0.9659090909090908,125860.0,0.9331121238213244,934600.0,68516.0,1
11208,94469,2.0,27333.0,0.9108796657207896,441100.0,35079.0,1
90280,94396,3.0,12922.0,0.9634933774834437,292100.0,42776.0,1
77449,94382,4.0,3158.0,0.9488337095560572,118500.0,65420.0,1
11236,93877,2.0,26112.0,0.9539218923543361,478700.0,61061.0,1
78521,93818,12.0,1007.0,0.9264600115074798,67500.0,26684.0,1
90805,93524,2.0,12692.0,0.9424871590826883,282000.0,44070.0,1
11207,93386,2.0,34965.0,0.9098298345126016,403800.0,32945.0,1
90250,93193,2.0,13920.0,0.9535889570552147,397500.0,45995.0,1
8701,92843,4.0,3775.0,0.9220108592474465,280100.0,40240.0,1
11219,92221,1.0,62225.0,0.9123131077266232,726700.0,34316.0,1
60623,92108,2.0,17196.0,0.8321101807248391,155600.0,28949.0,1
60618,92084,2.0,18195.0,0.8953144359875591,336300.0,55577.0,1
91342,91725,9.0,1665.0,0.9429647134217166,322400.0,59329.0,1
60632,91326,2.0,12297.0,0.8904534870828251,177800.0,38545.0,1
60639,90407,2.0,18537.0,0.8940496043714296,206800.0,38707.0,1
11211,90117,2.0,39209.0,0.9007261968800431,655500.0,46848.0,1
11377,89830,2.0,35274.0,0.9364137725443434,395800.0,49886.0,1
90044,89779,3.0,17478.0,0.9150260198697187,269400.0,29870.0,1
92683,89747,3.0,8975.0,0.9462346191318154,448400.0,52409.0,1
75052,88996,5.0,3402.0,0.955623872218138,134300.0,66744.0,1
11214,88630,2.0,40566.0,0.9135305294801622,598800.0,43398.0,1
92336,88419,4.0,3555.0,0.9549654075888445,283700.0,87116.0,1
92704,88123,2.0,11919.0,0.956077779949189,332600.0,58463.0,1
11234,87757,4.0,11627.0,0.9258171679421012,488200.0,68431.0,1
60647,87291,2.0,21570.0,0.8927781967596806,333000.0,51675.0,1
10456,86547,1.0,84979.0,0.9484334423796836,388600.0,23452.0,1
11230,86408,1.0,46966.0,0.9068708122722464,598000.0,42170.0,1
92804,85914,3.0,12265.0,0.9473500019442392,362600.0,53293.0,1
11355,85871,1.0,49492.0,0.9398976565301,507500.0,41884.0,1
10314,85510,4.0,6235.0,0.9439338517812682,437500.0,77242.0,1
91744,85040,3.0,9675.0,0.9706938733017542,285900.0,57291.0,1
94565,84641,8.0,2803.0,0.9234326271642112,213300.0,55255.0,1
60804,84573,2.0,11036.0,0.9108300648363084,157200.0,44177.0,1
